,username,tweet,hashtags,label,labeled_tweet
365,b9amtae,"many fields, particularly in peaceful nuclear energy. We are thankful & proud of this long-standing relationship that has enabled the exchange of specialized expertise, and contributed to the UAE’s long-term prosperity.  pic.twitter.com/cV0seI26MT",[],"{'neg': 0.0, 'neu': 0, 'pos': 0.307, 'compound': 0}",pos
366,obvious_anon,"Nuclear Power System Delivered to Florida for NASA’s Perseverance Rover 

#NuclearEnergy #NuclearPower #NASA https://www.energy.gov/ne/articles/nuclear-power-system-delivered-florida-nasa-s-perseverance-rover …","['#nuclearenergy', '#nuclearpower', '#nasa']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
367,b9amtae,"Today we witnessed remarkable progress at the Barakah Nuclear Energy Plant. We are grateful for the, resilience and commitment of the Barakah team who truly represent this country’s pioneering spirit. This project is a source of pride for everyone who calls the UAE home.  pic.twitter.com/mdXSi64ofD",[],"{'neg': 0.0, 'neu': 0, 'pos': 0.363, 'compound': 0}",pos
368,ans_org,Big development: Proposal by the U.S. International Development Finance Corporation to reverse ban on the agency financing overseas civil nuclear energy projects!  https://twitter.com/dfcgov/status/1270890316082696192 …,[],"{'neg': 0.139, 'neu': 0.786, 'pos': 0.075, 'compound': 0}",neu
369,nei,"Yesterday, the @DFCgov announced a proposed policy change to lift its legacy prohibition on funding nuclear energy projects. 

Here's our statement from CEO Maria Korsnick on why this announcement is a significant step for carbon-free energy worldwide.

 https://bit.ly/2AZ7n7b ",[],"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0}",neu
370,alsai3ri1,"#mohamedbinzayed Today we witnessed remarkable progress at the Barakah Nuclear Energy Plant.We are grateful for the, resilience and commitment of the Barakah team who truly represent this country’s pioneering spirit.This project is a source of pride for everyone who calls the UAE  pic.twitter.com/g3nAOY2alI",['#mohamedbinzayed'],"{'neg': 0.0, 'neu': 0, 'pos': 0.35, 'compound': 0}",pos
371,alsai3ri1,"@MohamedBinZayed SouthKorea is a strategic partner of the UAE in many fields, particularly in peaceful nuclear energy.We are thankful &proud of this long-standing relationship that has enabled the exchange of specialized expertise,and contributed to the UAE’s long-term prosperity  pic.twitter.com/VscDagPvoZ",[],"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0}",neu
372,iam__network,"Renewable energy capacity at record level worldwide in 2019 

READ MORE:  https://blog.iammarketingmedia.com/renewable-energy-capacity-at-record-level-worldwide-in-2019/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills pic.twitter.com/MtwOYw1Vna","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0}",neu
373,shades_of_greg,"Electoral Reform (PR lower house, STV Upper House)
Wind, Solar, Tidal and Nuclear Energy revolution (with free utilities if government finances permit)
Wealth tax to fund means tested UBI",[],"{'neg': 0.061, 'neu': 0, 'pos': 0.24, 'compound': 0}",pos
374,stayhome101,"Nuclear energy was created because it's cheaper than coal. It doesn't mean everything about nuclear is good.

BLM claims to be all about how BLM but is driving censorship and is shunning freedom of speech.",[],"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0}",neu
375,mohamedbinzayed,"South Korea is a strategic partner of the UAE in many fields, particularly in peaceful nuclear energy. We are thankful & proud of this long-standing relationship that has enabled the exchange of specialized expertise, and contributed to the UAE’s long-term prosperity.  pic.twitter.com/a2Cal4AweM",[],"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0}",neu
376,talknuclear,".@Bruce_Power Unit 7 surpasses one year of delivering reliable, clean power to Ontario #NuclearEnergy #cleanenergy #onpoli  https://www.brucepower.com/2020/06/05/bruce-powers-unit-7-surpasses-one-year-of-delivering-reliable-clean-power-to-ontario/ … … … … pic.twitter.com/DwFB53MERP","['#nuclearenergy', '#cleanenergy', '#onpoli']","{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0}",neu
377,mohamedbinzayed,"Today we witnessed remarkable progress at the Barakah Nuclear Energy Plant. We are grateful for the, resilience and commitment of the Barakah team who truly represent this country’s pioneering spirit. This project is a source of pride for everyone who calls the UAE home.  pic.twitter.com/YM6NqeomtC",[],"{'neg': 0.0, 'neu': 0, 'pos': 0.363, 'compound': 0}",pos
378,govnuclear,"Everything you wanted to know about advanced nuclear in ☝️ simple infographic. 

Learn more:  https://bit.ly/2HwCUyu  pic.twitter.com/GjIMOtuqRd",[],"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0}",neu
379,arachnocat14,Nuclear energy is clean energy.  https://twitter.com/EliSeeney/status/1270772385172635649 …,[],"{'neg': 0.0, 'neu': 0, 'pos': 0.633, 'compound': 0}",pos
380,arachnocat14,Nuclear energy is clean energy.,[],"{'neg': 0.0, 'neu': 0, 'pos': 0.775, 'compound': 0}",pos
381,nelsoninnewyork,"Important new commentary from @ColumbiaUEnergy's research scholar (and PhD in theoretical physics) @mbowen92 on the role nuclear energy should play in combating climate change and air pollution, and therefore why the US must remain engaged in its progress:  https://bit.ly/30Ea3l8  pic.twitter.com/DtVdixmPJ8",[],"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0}",neu
382,columbiauenergy,"In a new commentary, @ColumbiaUEnergy Matt Bowen explores the important role nuclear energy can play in lowering greenhouse gas emissions to avoid the worst potential outcomes of #climatechange. Read it here:  https://bit.ly/3fdRMzf  pic.twitter.com/rdWDCtoYHn",['#climatechange'],"{'neg': 0.2, 'neu': 0, 'pos': 0.151, 'compound': 0}",neg
383,greens4nuclear,"About time if you ask me...

IEA Report - Agency Calls For ‘Forthright Recognition’ Of Nuclear Energy
 https://www.nucnet.org/news/agency-calls-for-forthright-recognition-of-nuclear-energy-6-4-2020 …",[],"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0}",neu
384,uknuclearenergy,GB Grid: #Nuclear is generating 4.22GW (14.42%) out of 29.29GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
385,lightbridgecorp,"Lightbridge is one of 42 groups calling for passage of Nuclear Energy Leadership Act with NDAA

@ClearPathAction @US_NIC @NEI @ThirdWayEnergy
 https://files.constantcontact.com/14bf1850201/03d3179d-5439-4563-8489-8388ad97a604.pdf … pic.twitter.com/U7c7PjehGn",[],"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0}",neu
386,iam__network,"Renewable energy had a big 2019, but still isn’t meeting long-term Paris agreement goals 

READ MORE:  https://blog.iammarketingmedia.com/renewable-energy-had-a-big-2019-but-still-isnt-meeting-long-term-paris-agreement-goals/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills pic.twitter.com/Vb8gQlDxq0","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0}",neu
387,pwindastry,"UMichiganNews: RT UMengineering: Cheap electricity from nuclear energy can provide flexibility that complements wind and solar power, making it easier to afford a zero-emissions grid, says UmichNERS Chair Todd Allen (ToddAllen5) and UMSEAS' Michael Craig…  https://thehill.com/opinion/energy-environment/499886-an-affordable-zero-emissions-grid-needs-new-nuclear …",[],"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0}",neu
388,smashwamaina,Coal and nuclear energy? 🤔  https://twitter.com/MzalendoWatch/status/1271077712774549509 …,[],"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0}",neu
389,mzalendowatch,"Ksh 900 million for provision of transformers in constituencies, devt of nuclear energy and exploration and mining of coal - @BaloziYatani #BudgetKe2020 #BungeLiveKE","['#budgetke2020', '#bungeliveke']","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0}",neu
390,iam__network,"Renewable Energy Resources Set to Combat US Economic Downturn 

READ MORE:  https://blog.iammarketingmedia.com/renewable-energy-resources-set-to-combat-us-economic-downturn/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills+ pic.twitter.com/sNsl5JCREH","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.091, 'neu': 0.83, 'pos': 0.079, 'compound': 0}",neu
391,iam__network,"US retakes position as globe’s top renewable energy market 

READ MORE:  https://blog.iammarketingmedia.com/us-retakes-position-as-globes-top-renewable-energy-market/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills~ pic.twitter.com/QsBYGSS5P1","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0}",neu
392,christiangentis,"These are the two basic forms of energy. The different types of energy include thermal energy, radiant energy, chemical energy, nuclear energy, electrical energy, motion energy, sound energy, elastic energy and gravitational energy.",[],"{'neg': 0.0, 'neu': 0, 'pos': 0.555, 'compound': 0}",pos
393,hj_mai,"“Nuclear energy technology can help meet the world’s clean energy needs,” @lisamurkowski said on the U.S. International Development Finance Corporation’s proposal to end a ban on providing financing for civilian nuclear energy projects abroad. #energy #nuclear #geopolitics (1/2)","['#energy', '#nuclear', '#geopolitics']","{'neg': 0.074, 'neu': 0, 'pos': 0.285, 'compound': 0}",pos
394,oecd_nea,"📣📣📣  Calling graduate students & scientists who are new to the nuclear chemistry field and its application to nuclear waste management:

Free online course on Thermodynamic Data Collection & Assessment on 12 November 2020. Find out more and register 👉  http://oe.cd/nea-tdb-2020  pic.twitter.com/KneZpSyQca",[],"{'neg': 0.055, 'neu': 0.881, 'pos': 0.065, 'compound': 0}",neu
395,wachilonga_,Funny CS Ukur mentions money set aside for coal exploration and nuclear energy then speaks of Environmental protection lol #BudgetKe2020,['#budgetke2020'],"{'neg': 0.0, 'neu': 0, 'pos': 0.377, 'compound': 0}",pos
396,qamanja1,Ati nuclear energy imepewa ngapi 😂😂#BudgetKe2020,['#budgetke2020'],"{'neg': 0.184, 'neu': 0, 'pos': 0.285, 'compound': 0}",pos
397,cecalli_helper,"""China has remained persistent, investing about US$7 billion to enter Romania, which is serving as a springboard​​​ for Beijing to enter the EU's nuclear energy market while simultaneously promoting its Belt and Road Initiative in Eastern Europe.""  https://www.taiwannews.com.tw/en/news/3946001  #nonukes",['#nonukes'],"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0}",neu
398,iam__network,"Shares in renewable energy companies outperforming fossil fuel stocks – report – Stabroek News 

READ MORE:  https://blog.iammarketingmedia.com/shares-in-renewable-energy-companies-outperforming-fossil-fuel-stocks-report-stabroek-news/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills+ pic.twitter.com/m3jLRoZZYE","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0}",neu
399,iam__network,"Irish onshore trio hit financial close 

READ MORE:  https://blog.iammarketingmedia.com/irish-onshore-trio-hit-financial-close/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills~ pic.twitter.com/GES4CZ6NSQ","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
400,uknuclearenergy,GB Grid: #Nuclear is generating 4.21GW (14.27%) out of 29.47GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
401,wafa20__,"Being a nuclear state, Pakistan attaches highest significance to its civilian nuclear energy programme and complies with all international and domestic obligations. 
#PMIKLeadingTheWorld pic.twitter.com/DyuDkld7ZG",['#pmikleadingtheworld'],"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0}",neu
402,karnfull_en,"⛽️| Talk about reliability: @TVAnews refuels three #nuclear plants in the midst of a pandemic. Using fewer workers, different work processes and more health and safety measures they’ve now done 3 in 3 months, showing how #NuclearEnergy copes with #COVID19. https://www.timesfreepress.com/news/business/aroundregion/story/2020/jun/09/tvrestarts-watts-bar-after-refueling/524891/ …","['#nuclear', '#nuclearenergy', '#covid19']","{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0}",neu
403,nucnetnews,"⚛️ Policy uncertainty is preventing the #nuclear #industry from making #investment decisions and “forthright recognition” of the value of nuclear #energy would encourage policymakers to include it in their long-term energy plans, @IEA said.

▶️ Read more:  https://www.nucnet.org/news/agency-calls-for-forthright-recognition-of-nuclear-energy-6-4-2020 … pic.twitter.com/eive1zvmjb","['#nuclear', '#industry', '#investment', '#energy']","{'neg': 0.069, 'neu': 0, 'pos': 0.242, 'compound': 0}",pos
404,iam__network,"Scientists Discover a Prime Renewable Energy Source: Water Vapor in the Atmosphere 

READ MORE:  https://blog.iammarketingmedia.com/scientists-discover-a-prime-renewable-energy-source-water-vapor-in-the-atmosphere/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills pic.twitter.com/vYgYOMAXGV","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0}",neu
405,thorium_232,US agency plans to lift #nuclear power plant financing ban: spokeswoman  https://www.spglobal.com/platts/en/market-insights/latest-news/electric-power/061020-us-agency-plans-to-lift-nuclear-power-plant-financing-ban-spokeswoman … Yes #auspol We need that reliable 24/7 ULTRA Low CO2 electricity #NuclearEnergy provides so well We need our #Thorium and #Uranium advantage pic.twitter.com/iCSx4hfxin,"['#nuclear', '#auspol', '#nuclearenergy', '#thorium', '#uranium']","{'neg': 0.129, 'neu': 0.702, 'pos': 0.169, 'compound': 0}",neu
406,tokuhiroakira,(Opinion. Nuclear energy is also part of Canada; can create this options for Provinces; start w/ nuclear engineering/radiation science degrees @OT_FESNS ) Greta Thunberg calls out Canada on climate before UN Security Council vote https://www.huffingtonpost.ca/entry/greta-thunberg-climate-change-canada_ca_5ee0d136c5b6911a97dd654b?ncid=other_twitter_cooo9wqtham&utm_campaign=share_twitter …,[],"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0}",neu
407,stef_saywhat,Nuclear energy is the safest and clwanest source of energy. Do your f*cking homework. Enough said,[],"{'neg': 0.0, 'neu': 0, 'pos': 0.347, 'compound': 0}",pos
408,thorium_232,A CANDU #SMR is a Gen3+ #Nuclear reactor based on decades-long proven design is licensed throughout the world  https://snclavalin.com/~/media/Files/S/SNC-Lavalin/download-centre/en/brochure/our-candu-smr_en.pdf … Yes  #Auspol We need that 24/7 Reliable electricity from Small Modular Reactors; We need ULTRA Low CO2 #Thorium & Uranium. We need #NuclearEnergy,"['#smr', '#nuclear', '#auspol', '#thorium', '#nuclearenergy']","{'neg': 0.046, 'neu': 0.895, 'pos': 0.059, 'compound': 0}",neu
409,inno62108738,"So over all less waste and all the wast produces by nuclear energy is just like a futball field 3 meters high, so storing it should not be sush a hazard Finland is already making a permanent place to store it and nuclear could help the electrical grid being stable",[],"{'neg': 0.044, 'neu': 0.789, 'pos': 0.167, 'compound': 0}",neu
410,iam__network,"The Pandemic Affects the Pace of Renewables’ Deployment, Not Its Future 

READ MORE:  https://blog.iammarketingmedia.com/the-pandemic-affects-the-pace-of-renewables-deployment-not-its-future/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills~","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
411,iam__network,"Marine renewable energy ‘poses minimal risk to sea life’ 

READ MORE:  https://blog.iammarketingmedia.com/marine-renewable-energy-poses-minimal-risk-to-sea-life/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills pic.twitter.com/ufKSWZc9iT","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.08, 'neu': 0.84, 'pos': 0.08, 'compound': 0}",neu
412,stef_saywhat,"It’s a misconception and it was because of what happened at Chernobyl but France, the UK and even US has been using nuclear energy for decades. It’s not talked about. The only thing with a nuclear power plant, the security is out of this world and it will always be a prime target",[],"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0}",neu
413,knitting4nepal,"If it is not already blatantly obvious, quite a lot has changed in the energy market since 2014. e.g. renewable energy is now more affordable (LCOE) than nuclear energy.

@HarvardX @Harvard @DKeithClimate et al should be ashamed to put their name to this course in 2020",[],"{'neg': 0.06, 'neu': 0.817, 'pos': 0.123, 'compound': 0}",neu
414,talknuclear,Major milestone achieved on one of Canada's largest clean energy projects @opg #Darlington #nuclearenergy #cleanenergy  https://cna.ca/news/major-milestone-achieved-on-one-of-canadas-largest-clean-energy-projects/ … … … … … pic.twitter.com/NA1KJoMIT8,"['#darlington', '#nuclearenergy', '#cleanenergy']","{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0}",neu
415,goodnightcnslt,Nuclear energy is a critical investment  https://buff.ly/2WRmOnJ  pic.twitter.com/xvGgeGJoQg,[],"{'neg': 0.221, 'neu': 0, 'pos': 0.202, 'compound': 0}",neg
416,inno62108738,"Nuclear energy is indeed clean and killed less people than coal, petrol and gas, the fukushima reactor only melted down due to a earthquake and tsunami not only destroing it but destroing its safety measures, normally it is pretty safe, people just think otherwise",[],"{'neg': 0.049, 'neu': 0, 'pos': 0.272, 'compound': 0}",pos
417,totterdell91, https://twitter.com/chrispydog/status/1271046038116130816 … Yes #Auspol We need Reliable electricity 24/7 We need #Nuclear Energy #Thorium & #Uranium Yes #NuclearEnergy,"['#auspol', '#nuclear', '#thorium', '#uranium', '#nuclearenergy']","{'neg': 0.0, 'neu': 0, 'pos': 0.333, 'compound': 0}",pos
418,umengineering,"Cheap electricity from nuclear energy can provide flexibility that complements wind and solar power, making it easier to afford a zero-emissions grid, says @UmichNERS Chair Todd Allen (@ToddAllen5) and @UMSEAS' Michael Craig in @thehill. https://thehill.com/opinion/energy-environment/499886-an-affordable-zero-emissions-grid-needs-new-nuclear …",[],"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0}",neu
419,angieeclectic,"When is someone going to tell us how much influence the Chinese State backed companies have in our nuclear energy?
The deal Osborne & Johnson clinched for Hinckley Point, has enabled China's ambition to be the world leader in nuclear power.
Even Theresa May hesitated over this.",[],"{'neg': 0.046, 'neu': 0.889, 'pos': 0.065, 'compound': 0}",neu
420,uknuclearenergy,GB Grid: #Nuclear is generating 4.18GW (14.05%) out of 29.77GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
421,esthermaile,"Huge dust cloud released at UK nuclear power site after tower 'collapses' - Mirror Online
Why is the government subsidising nuclear energy for double the price of the market? Where will all the radioactive rubbish go for centuries to come?  https://www.mirror.co.uk/news/uk-news/breaking-huge-dust-cloud-released-22168151 …",[],"{'neg': 0.048, 'neu': 0.849, 'pos': 0.104, 'compound': 0}",neu
422,cahlum_r,"End FPTP
Massive Nuclear energy investment
Infrastructure investment",[],"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0}",neu
423,mpeachie_,I still remember my teacher telling me to write my essays like describing nuclear energy to a 5 years old,[],"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0}",neu
424,niipale_pandeni,"As the 4th largest Uranium Producing Country in the world, and one of  the most stable countries, we ought  to have a National Nuclear Research Centre. Where we focus on the development of nuclear energy. Universities should incorporate and encourage Nuclear science research.",[],"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0}",neu
425,talknuclear,Nuclear power now ‘off track’ in IEA's Sustainable Development Scenario : Energy & Environment - World Nuclear News #NuclearEnergy #cleanenergy  https://www.world-nuclear-news.org/Articles/Nuclear-power-now-off-track-in-IEAs-Sustainable-De?feed=feed …,"['#nuclearenergy', '#cleanenergy']","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0}",neu
426,gen_atomic,"We're seeing some motion on the Nuclear Energy Leadership Act, which may be included in the National Defense Authorization Act and becoming law in the near future. Join 170+ others and email/call/tweet your senators!  https://buff.ly/2UvB1YG  pic.twitter.com/VG4dOCmJRA",[],"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0}",neu
427,niipale_pandeni,"We should've already created a 'Nuclear Energy Fund' similar to the MVA fund and Current Energy Fund, where Uranium Mining Companies annually contribute towards the Fund and utilise existing Government and Nampower employees to save on costs.",[],"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0}",neu
428,solid8gamer,"Everyone else has nuclear energy, meanwhile back at my civilization...  pic.twitter.com/RNkf8UNLp2",[],"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0}",neu
429,talknuclear,".@global1stpower, @UltraSafeNuke and @opg Form Joint Venture to Own, Operate Micro Modular Reactor Project at Chalk River #SMR #NuclearEnergy  https://prn.to/2UtZKfE ","['#smr', '#nuclearenergy']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
430,iam__network,"Marine renewable energy ‘poses minimal risk to marine life’ 

READ MORE:  https://blog.iammarketingmedia.com/marine-renewable-energy-poses-minimal-risk-to-marine-life/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills pic.twitter.com/K0fgnrfOTo","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.08, 'neu': 0.84, 'pos': 0.08, 'compound': 0}",neu
431,fonuclearenergy,"Today in the 'We are...' campaign, we hear from Eilidh about her love of animals.

Just a reminder: the first ever Friends of Nuclear Energy event is happening on Thursday 18th June, you can get your free tickets here:  https://lnkd.in/eT8VTxf 
#nuclear #netzero #climatechange pic.twitter.com/zGEwwdY7r4","['#nuclear', '#netzero', '#climatechange']","{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0}",neu
432,trppolymer,TRP Polymer Solutions offers a broad selection of specialised polymers developed for nuclear applications. We can provide some of the most resilient and reliable high grade polymers for the most extreme environments #nuclearenergy  http://ow.ly/uio450zCSQ5 ,['#nuclearenergy'],"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0}",neu
433,iam__network,"Adani wins 8GW Indian solar contract 

READ MORE:  https://blog.iammarketingmedia.com/adani-wins-8gw-indian-solar-contract/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills~ pic.twitter.com/PQ9T5Uz39S","['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']","{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0}",neu
434,uknuclearenergy,GB Grid: #Nuclear is generating 4.15GW (14.21%) out of 29.24GW,['#nuclear'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
435,sogepa_wallonie,"#lesateliersdelameuse, entreprise participée @SOGEPA_Wallonie, signent le cryostatest du réacteur de fusion nucléaire japonais de #naka. Cette pièce permet le refroidissement des électro-aimants qui repoussent le magma en #fusion. Bravo ! #liege #nuclearenergy #wallonie pic.twitter.com/2e5djvpvGy","['#lesateliersdelameuse', '#naka', '#fusion', '#liege', '#nuclearenergy', '#wallonie']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0}",neu
436,hsn13468909,"It cant be because wind farms and solar panels are not reliable
The only reliable energy source that doesn't create co2 is nuclear energy and people oppose it for some reason",[],"{'neg': 0.053, 'neu': 0.823, 'pos': 0.123, 'compound': 0}",neu
437,noramckinney81,"Does logic play any part in this? As a physicist, I know that large groups of people can be wrong, like for example when people think that nuclear energy is more dangerous than coal (it isn't, not for humans nor for the environment, and physicists know that). And they shape 1/2",[],"{'neg': 0.109, 'neu': 0.773, 'pos': 0.118, 'compound': 0}",neu
438,aburaihanpak,"2/2 
4. Developed fist Nuclear Energy setup
5. Established International Centre for Theoretical Physics

& He demand that he will only accept Nobel Prize while wearing Pakistani Sherwani and Turban 

To me, by religion he was non-muslim, but don't take his contributions for Pak",[],"{'neg': 0.027, 'neu': 0.856, 'pos': 0.118, 'compound': 0}",neu
439,gsonderby,"Nuclear energy has lower environmental load in basically all meaningful metrics than most other forms of energy, emits no CO2, and has an established and outs out less radioactive waste in a more easily handled form that modern coal plants.",[],"{'neg': 0.141, 'neu': 0, 'pos': 0.187, 'compound': 0}",pos
440,mrbignigg,Nuclear energy,[],"{'neg': 0.0, 'neu': 0, 'pos': 0.677, 'compound': 0}",pos
441,upfromthesea,dr carl agent 488 still best reality check cyberspace ultra corrupt . Nice write note rocket science. Critical mass a pen is a pen is a pen. Nuclear energy satanic verses Kim phiby was interesting panjabi Punjabi Pu plutonium Cambridge five hanuman flying burning monkeytail.  pic.twitter.com/BYmdMGu9od,[],"{'neg': 0.078, 'neu': 0.712, 'pos': 0.21, 'compound': 0}",neu
442,honestcitizen8,Disagree.. Utter Rubbish.. Only Nuclear Energy is Emerging Sector Globally..,[],"{'neg': 0.205, 'neu': 0, 'pos': 0.165, 'compound': 0}",neg
